,actual,predicted,date,team,opponent,result,new_team
55,0,0,2022-01-23,Arsenal,Burnley,D,Arsenal
56,1,0,2022-02-10,Arsenal,Wolves,W,Arsenal
57,1,0,2022-02-19,Arsenal,Brentford,W,Arsenal
58,1,1,2022-02-24,Arsenal,Wolves,W,Arsenal
59,1,1,2022-03-06,Arsenal,Watford,W,Arsenal
60,1,1,2022-03-13,Arsenal,Leicester City,W,Arsenal
61,0,1,2022-03-16,Arsenal,Liverpool,L,Arsenal
62,1,0,2022-03-19,Arsenal,Aston Villa,W,Arsenal
63,0,0,2022-04-04,Arsenal,Crystal Palace,L,Arsenal
64,0,0,2022-04-09,Arsenal,Brighton,L,Arsenal
65,0,0,2022-04-16,Arsenal,Southampton,L,Arsenal
66,1,0,2022-04-20,Arsenal,Chelsea,W,Arsenal
67,1,0,2022-04-23,Arsenal,Manchester Utd,W,Arsenal
121,0,0,2022-01-02,Aston Villa,Brentford,L,Aston Villa
122,0,0,2022-01-15,Aston Villa,Manchester Utd,D,Aston Villa
123,1,0,2022-01-22,Aston Villa,Everton,W,Aston Villa
124,0,0,2022-02-09,Aston Villa,Leeds United,D,Aston Villa
125,0,0,2022-02-13,Aston Villa,Newcastle Utd,L,Aston Villa
126,0,0,2022-02-19,Aston Villa,Watford,L,Aston Villa
127,1,0,2022-02-26,Aston Villa,Brighton,W,Aston Villa
128,1,0,2022-03-05,Aston Villa,Southampton,W,Aston Villa
129,1,1,2022-03-10,Aston Villa,Leeds United,W,Aston Villa
130,0,0,2022-03-13,Aston Villa,West Ham,L,Aston Villa
131,0,0,2022-03-19,Aston Villa,Arsenal,L,Aston Villa
132,0,0,2022-04-02,Aston Villa,Wolves,L,Aston Villa
133,0,0,2022-04-09,Aston Villa,Tottenham,L,Aston Villa
134,0,0,2022-04-23,Aston Villa,Leicester City,D,Aston Villa
150,1,0,2022-01-02,Brentford,Aston Villa,W,Brentford
151,0,0,2022-01-11,Brentford,Southampton,L,Brentford
152,0,0,2022-01-16,Brentford,Liverpool,L,Brentford
153,0,0,2022-01-19,Brentford,Manchester Utd,L,Brentford
154,0,0,2022-01-22,Brentford,Wolves,L,Brentford
155,0,0,2022-02-09,Brentford,Manchester City,L,Brentford
156,0,0,2022-02-12,Brentford,Crystal Palace,D,Brentford
157,0,0,2022-02-19,Brentford,Arsenal,L,Brentford
158,0,0,2022-02-26,Brentford,Newcastle Utd,L,Brentford
159,1,0,2022-03-05,Brentford,Norwich City,W,Brentford
160,1,0,2022-03-12,Brentford,Burnley,W,Brentford
161,0,0,2022-03-20,Brentford,Leicester City,L,Brentford
162,1,0,2022-04-02,Brentford,Chelsea,W,Brentford
163,1,1,2022-04-10,Brentford,West Ham,W,Brentford
164,1,0,2022-04-16,Brentford,Watford,W,Brentford
165,0,1,2022-04-23,Brentford,Tottenham,D,Brentford
219,1,0,2022-01-02,Brighton and Hove Albion,Everton,W,Brighton
220,0,0,2022-01-14,Brighton and Hove Albion,Crystal Palace,D,Brighton
221,0,0,2022-01-18,Brighton and Hove Albion,Chelsea,D,Brighton
222,0,0,2022-01-23,Brighton and Hove Albion,Leicester City,D,Brighton
223,1,0,2022-02-12,Brighton and Hove Albion,Watford,W,Brighton
224,0,0,2022-02-15,Brighton and Hove Albion,Manchester Utd,L,Brighton
225,0,0,2022-02-19,Brighton and Hove Albion,Burnley,L,Brighton
226,0,0,2022-02-26,Brighton and Hove Albion,Aston Villa,L,Brighton
227,0,0,2022-03-05,Brighton and Hove Albion,Newcastle Utd,L,Brighton
228,0,0,2022-03-12,Brighton and Hove Albion,Liverpool,L,Brighton
229,0,0,2022-03-16,Brighton and Hove Albion,Tottenham,L,Brighton
230,0,0,2022-04-02,Brighton and Hove Albion,Norwich City,D,Brighton
231,1,0,2022-04-09,Brighton and Hove Albion,Arsenal,W,Brighton
232,1,0,2022-04-16,Brighton and Hove Albion,Tottenham,W,Brighton
233,0,0,2022-04-20,Brighton and Hove Albion,Manchester City,L,Brighton
234,0,0,2022-04-24,Brighton and Hove Albion,Southampton,D,Brighton
286,0,0,2022-01-02,Burnley,Leeds United,L,Burnley
287,0,0,2022-01-23,Burnley,Arsenal,D,Burnley
288,0,0,2022-02-05,Burnley,Watford,D,Burnley
289,0,0,2022-02-08,Burnley,Manchester Utd,D,Burnley
290,0,0,2022-02-13,Burnley,Liverpool,L,Burnley
291,1,0,2022-02-19,Burnley,Brighton,W,Burnley
292,1,0,2022-02-23,Burnley,Tottenham,W,Burnley
293,0,0,2022-02-26,Burnley,Crystal Palace,D,Burnley
294,0,0,2022-03-01,Burnley,Leicester City,L,Burnley
295,0,0,2022-03-05,Burnley,Chelsea,L,Burnley
296,0,0,2022-03-12,Burnley,Brentford,L,Burnley
297,0,0,2022-04-02,Burnley,Manchester City,L,Burnley
298,1,0,2022-04-06,Burnley,Everton,W,Burnley
299,0,0,2022-04-10,Burnley,Norwich City,L,Burnley
300,0,0,2022-04-17,Burnley,West Ham,D,Burnley
301,1,0,2022-04-21,Burnley,Southampton,W,Burnley
302,1,0,2022-04-24,Burnley,Wolves,W,Burnley
358,0,0,2022-01-02,Chelsea,Liverpool,D,Chelsea
359,0,0,2022-01-15,Chelsea,Manchester City,L,Chelsea
360,0,0,2022-01-18,Chelsea,Brighton,D,Chelsea
361,1,1,2022-01-23,Chelsea,Tottenham,W,Chelsea
362,1,0,2022-02-19,Chelsea,Crystal Palace,W,Chelsea
363,1,1,2022-03-05,Chelsea,Burnley,W,Chelsea
364,1,0,2022-03-10,Chelsea,Norwich City,W,Chelsea
365,1,0,2022-03-13,Chelsea,Newcastle Utd,W,Chelsea
366,0,0,2022-04-02,Chelsea,Brentford,L,Chelsea
367,1,0,2022-04-09,Chelsea,Southampton,W,Chelsea
368,0,1,2022-04-20,Chelsea,Arsenal,L,Chelsea
369,1,1,2022-04-24,Chelsea,West Ham,W,Chelsea
422,0,0,2022-01-14,Crystal Palace,Brighton,D,Crystal Palace
423,0,0,2022-01-23,Crystal Palace,Liverpool,L,Crystal Palace
424,0,0,2022-02-09,Crystal Palace,Norwich City,D,Crystal Palace
425,0,0,2022-02-12,Crystal Palace,Brentford,D,Crystal Palace
426,0,1,2022-02-19,Crystal Palace,Chelsea,L,Crystal Palace
427,1,0,2022-02-23,Crystal Palace,Watford,W,Crystal Palace
428,0,0,2022-02-26,Crystal Palace,Burnley,D,Crystal Palace
429,1,0,2022-03-05,Crystal Palace,Wolves,W,Crystal Palace
430,0,0,2022-03-14,Crystal Palace,Manchester City,D,Crystal Palace
431,1,0,2022-04-04,Crystal Palace,Arsenal,W,Crystal Palace
432,0,0,2022-04-10,Crystal Palace,Leicester City,L,Crystal Palace
433,0,0,2022-04-20,Crystal Palace,Newcastle Utd,L,Crystal Palace
434,0,0,2022-04-25,Crystal Palace,Leeds United,D,Crystal Palace
487,0,0,2022-01-02,Everton,Brighton,L,Everton
488,0,0,2022-01-15,Everton,Norwich City,L,Everton
489,0,0,2022-01-22,Everton,Aston Villa,L,Everton
490,0,0,2022-02-08,Everton,Newcastle Utd,L,Everton
491,1,0,2022-02-12,Everton,Leeds United,W,Everton
492,0,1,2022-02-19,Everton,Southampton,L,Everton
493,0,0,2022-02-26,Everton,Manchester City,L,Everton
494,0,0,2022-03-07,Everton,Tottenham,L,Everton
495,0,0,2022-03-13,Everton,Wolves,L,Everton
496,1,0,2022-03-17,Everton,Newcastle Utd,W,Everton
497,0,0,2022-04-03,Everton,West Ham,L,Everton
498,0,0,2022-04-06,Everton,Burnley,L,Everton
499,1,0,2022-04-09,Everton,Manchester Utd,W,Everton
500,0,0,2022-04-20,Everton,Leicester City,D,Everton
501,0,0,2022-04-24,Everton,Liverpool,L,Everton
590,1,0,2022-01-02,Leeds United,Burnley,W,Leeds United
591,1,1,2022-01-16,Leeds United,West Ham,W,Leeds United
592,0,0,2022-01-22,Leeds United,Newcastle Utd,L,Leeds United
593,0,0,2022-02-09,Leeds United,Aston Villa,D,Leeds United
594,0,0,2022-02-12,Leeds United,Everton,L,Leeds United
595,0,0,2022-02-20,Leeds United,Manchester Utd,L,Leeds United
596,0,0,2022-02-23,Leeds United,Liverpool,L,Leeds United
597,0,0,2022-02-26,Leeds United,Tottenham,L,Leeds United
598,0,0,2022-03-05,Leeds United,Leicester City,L,Leeds United
599,0,0,2022-03-10,Leeds United,Aston Villa,L,Leeds United
600,1,0,2022-03-13,Leeds United,Norwich City,W,Leeds United
601,1,0,2022-03-18,Leeds United,Wolves,W,Leeds United
602,0,0,2022-04-02,Leeds United,Southampton,D,Leeds United
603,1,0,2022-04-09,Leeds United,Watford,W,Leeds United
604,0,0,2022-04-25,Leeds United,Crystal Palace,D,Leeds United
658,0,1,2022-01-19,Leicester City,Tottenham,L,Leicester City
659,0,0,2022-01-23,Leicester City,Brighton,D,Leicester City
660,0,0,2022-02-10,Leicester City,Liverpool,L,Leicester City
661,0,0,2022-02-13,Leicester City,West Ham,D,Leicester City
662,0,0,2022-02-20,Leicester City,Wolves,L,Leicester City
663,1,0,2022-03-01,Leicester City,Burnley,W,Leicester City
664,1,1,2022-03-05,Leicester City,Leeds United,W,Leicester City
665,0,1,2022-03-13,Leicester City,Arsenal,L,Leicester City
666,1,0,2022-03-20,Leicester City,Brentford,W,Leicester City
667,0,0,2022-04-02,Leicester City,Manchester Utd,D,Leicester City
668,1,0,2022-04-10,Leicester City,Crystal Palace,W,Leicester City
669,0,0,2022-04-17,Leicester City,Newcastle Utd,L,Leicester City
670,0,0,2022-04-20,Leicester City,Everton,D,Leicester City
671,0,0,2022-04-23,Leicester City,Aston Villa,D,Leicester City
763,1,0,2022-01-15,Manchester City,Chelsea,W,Manchester City
764,0,1,2022-01-22,Manchester City,Southampton,D,Manchester City
765,1,0,2022-02-09,Manchester City,Brentford,W,Manchester City
766,1,1,2022-02-12,Manchester City,Norwich City,W,Manchester City
767,0,1,2022-02-19,Manchester City,Tottenham,L,Manchester City
768,1,1,2022-02-26,Manchester City,Everton,W,Manchester City
769,1,1,2022-03-06,Manchester City,Manchester Utd,W,Manchester City
770,0,0,2022-03-14,Manchester City,Crystal Palace,D,Manchester City
771,1,1,2022-04-02,Manchester City,Burnley,W,Manchester City
772,0,1,2022-04-10,Manchester City,Liverpool,D,Manchester City
773,1,1,2022-04-20,Manchester City,Brighton,W,Manchester City
774,1,1,2022-04-23,Manchester City,Watford,W,Manchester City
828,0,0,2022-01-03,Manchester United,Wolves,L,Manchester Utd
829,0,0,2022-01-15,Manchester United,Aston Villa,D,Manchester Utd
830,1,0,2022-01-19,Manchester United,Brentford,W,Manchester Utd
831,1,0,2022-01-22,Manchester United,West Ham,W,Manchester Utd
832,0,0,2022-02-08,Manchester United,Burnley,D,Manchester Utd
833,0,1,2022-02-12,Manchester United,Southampton,D,Manchester Utd
834,1,1,2022-02-15,Manchester United,Brighton,W,Manchester Utd
835,1,1,2022-02-20,Manchester United,Leeds United,W,Manchester Utd
836,0,1,2022-02-26,Manchester United,Watford,D,Manchester Utd
837,0,0,2022-03-06,Manchester United,Manchester City,L,Manchester Utd
838,1,0,2022-03-12,Manchester United,Tottenham,W,Manchester Utd
839,0,0,2022-04-02,Manchester United,Leicester City,D,Manchester Utd
840,0,0,2022-04-09,Manchester United,Everton,L,Manchester Utd
841,1,0,2022-04-16,Manchester United,Norwich City,W,Manchester Utd
842,0,0,2022-04-19,Manchester United,Liverpool,L,Manchester Utd
843,0,0,2022-04-23,Manchester United,Arsenal,L,Manchester Utd
898,0,0,2022-01-15,Newcastle United,Watford,D,Newcastle Utd
899,1,0,2022-01-22,Newcastle United,Leeds United,W,Newcastle Utd
900,1,0,2022-02-08,Newcastle United,Everton,W,Newcastle Utd
901,1,1,2022-02-13,Newcastle United,Aston Villa,W,Newcastle Utd
902,0,1,2022-02-19,Newcastle United,West Ham,D,Newcastle Utd
903,1,1,2022-02-26,Newcastle United,Brentford,W,Newcastle Utd
904,1,1,2022-03-05,Newcastle United,Brighton,W,Newcastle Utd
905,1,0,2022-03-10,Newcastle United,Southampton,W,Newcastle Utd
906,0,1,2022-03-13,Newcastle United,Chelsea,L,Newcastle Utd
907,0,0,2022-03-17,Newcastle United,Everton,L,Newcastle Utd
908,0,0,2022-04-03,Newcastle United,Tottenham,L,Newcastle Utd
909,1,0,2022-04-08,Newcastle United,Wolves,W,Newcastle Utd
910,1,0,2022-04-17,Newcastle United,Leicester City,W,Newcastle Utd
911,1,0,2022-04-20,Newcastle United,Crystal Palace,W,Newcastle Utd
912,1,1,2022-04-23,Newcastle United,Norwich City,W,Newcastle Utd
929,0,0,2022-01-12,Norwich City,West Ham,L,Norwich City
930,1,0,2022-01-15,Norwich City,Everton,W,Norwich City
931,1,0,2022-01-21,Norwich City,Watford,W,Norwich City
932,0,0,2022-02-09,Norwich City,Crystal Palace,D,Norwich City
933,0,0,2022-02-12,Norwich City,Manchester City,L,Norwich City
934,0,0,2022-02-19,Norwich City,Liverpool,L,Norwich City
935,0,0,2022-02-25,Norwich City,Southampton,L,Norwich City
936,0,0,2022-03-05,Norwich City,Brentford,L,Norwich City
937,0,0,2022-03-10,Norwich City,Chelsea,L,Norwich City
938,0,0,2022-03-13,Norwich City,Leeds United,L,Norwich City
939,0,0,2022-04-02,Norwich City,Brighton,D,Norwich City
940,1,0,2022-04-10,Norwich City,Burnley,W,Norwich City
941,0,0,2022-04-16,Norwich City,Manchester Utd,L,Norwich City
942,0,0,2022-04-23,Norwich City,Newcastle Utd,L,Norwich City
1032,1,0,2022-01-11,Southampton,Brentford,W,Southampton
1033,0,0,2022-01-15,Southampton,Wolves,L,Southampton
1034,0,0,2022-01-22,Southampton,Manchester City,D,Southampton
1035,1,0,2022-02-09,Southampton,Tottenham,W,Southampton
1036,0,0,2022-02-12,Southampton,Manchester Utd,D,Southampton
1037,1,0,2022-02-19,Southampton,Everton,W,Southampton
1038,1,1,2022-02-25,Southampton,Norwich City,W,Southampton
1039,0,1,2022-03-05,Southampton,Aston Villa,L,Southampton
1040,0,1,2022-03-10,Southampton,Newcastle Utd,L,Southampton
1041,0,0,2022-03-13,Southampton,Watford,L,Southampton
1042,0,0,2022-04-02,Southampton,Leeds United,D,Southampton
1043,0,0,2022-04-09,Southampton,Chelsea,L,Southampton
1044,1,0,2022-04-16,Southampton,Arsenal,W,Southampton
1045,0,0,2022-04-21,Southampton,Burnley,L,Southampton
1046,0,0,2022-04-24,Southampton,Brighton,D,Southampton
1100,1,1,2022-01-19,Tottenham Hotspur,Leicester City,W,Tottenham
1101,0,1,2022-01-23,Tottenham Hotspur,Chelsea,L,Tottenham
1102,0,1,2022-02-09,Tottenham Hotspur,Southampton,L,Tottenham
1103,0,0,2022-02-13,Tottenham Hotspur,Wolves,L,Tottenham
1104,1,0,2022-02-19,Tottenham Hotspur,Manchester City,W,Tottenham
1105,0,0,2022-02-23,Tottenham Hotspur,Burnley,L,Tottenham
1106,1,0,2022-02-26,Tottenham Hotspur,Leeds United,W,Tottenham
1107,1,1,2022-03-07,Tottenham Hotspur,Everton,W,Tottenham
1108,0,0,2022-03-12,Tottenham Hotspur,Manchester Utd,L,Tottenham
1109,1,0,2022-03-16,Tottenham Hotspur,Brighton,W,Tottenham
1110,1,1,2022-03-20,Tottenham Hotspur,West Ham,W,Tottenham
1111,1,0,2022-04-03,Tottenham Hotspur,Newcastle Utd,W,Tottenham
1112,1,1,2022-04-09,Tottenham Hotspur,Aston Villa,W,Tottenham
1113,0,0,2022-04-16,Tottenham Hotspur,Brighton,L,Tottenham
1114,0,0,2022-04-23,Tottenham Hotspur,Brentford,D,Tottenham
1130,0,0,2022-01-15,Watford,Newcastle Utd,D,Watford
1131,0,0,2022-01-21,Watford,Norwich City,L,Watford
1132,0,0,2022-02-05,Watford,Burnley,D,Watford
1133,0,0,2022-02-08,Watford,West Ham,L,Watford
1134,0,0,2022-02-12,Watford,Brighton,L,Watford
1135,1,0,2022-02-19,Watford,Aston Villa,W,Watford
1136,0,0,2022-02-23,Watford,Crystal Palace,L,Watford
1137,0,0,2022-02-26,Watford,Manchester Utd,D,Watford
1138,0,0,2022-03-06,Watford,Arsenal,L,Watford
1139,0,0,2022-03-10,Watford,Wolves,L,Watford
1140,1,0,2022-03-13,Watford,Southampton,W,Watford
1141,0,0,2022-04-02,Watford,Liverpool,L,Watford
1142,0,0,2022-04-09,Watford,Leeds United,L,Watford
1143,0,0,2022-04-16,Watford,Brentford,L,Watford
1144,0,0,2022-04-23,Watford,Manchester City,L,Watford
1235,1,1,2022-01-12,West Ham United,Norwich City,W,West Ham
1236,0,0,2022-01-16,West Ham United,Leeds United,L,West Ham
1237,0,0,2022-01-22,West Ham United,Manchester Utd,L,West Ham
1238,1,0,2022-02-08,West Ham United,Watford,W,West Ham
1239,0,0,2022-02-13,West Ham United,Leicester City,D,West Ham
1240,0,0,2022-02-19,West Ham United,Newcastle Utd,D,West Ham
1241,1,1,2022-02-27,West Ham United,Wolves,W,West Ham
1242,0,0,2022-03-05,West Ham United,Liverpool,L,West Ham
1243,1,0,2022-03-13,West Ham United,Aston Villa,W,West Ham
1244,0,0,2022-03-20,West Ham United,Tottenham,L,West Ham
1245,1,0,2022-04-03,West Ham United,Everton,W,West Ham
1246,0,0,2022-04-10,West Ham United,Brentford,L,West Ham
1247,0,0,2022-04-17,West Ham United,Burnley,D,West Ham
1248,0,0,2022-04-24,West Ham United,Chelsea,L,West Ham
1302,1,0,2022-01-03,Wolverhampton Wanderers,Manchester Utd,W,Wolves
1303,1,0,2022-01-15,Wolverhampton Wanderers,Southampton,W,Wolves
1304,1,0,2022-01-22,Wolverhampton Wanderers,Brentford,W,Wolves
1305,0,0,2022-02-10,Wolverhampton Wanderers,Arsenal,L,Wolves
1306,1,1,2022-02-13,Wolverhampton Wanderers,Tottenham,W,Wolves
1307,1,0,2022-02-20,Wolverhampton Wanderers,Leicester City,W,Wolves
1308,0,0,2022-02-24,Wolverhampton Wanderers,Arsenal,L,Wolves
1309,0,0,2022-02-27,Wolverhampton Wanderers,West Ham,L,Wolves
1310,0,0,2022-03-05,Wolverhampton Wanderers,Crystal Palace,L,Wolves
1311,1,0,2022-03-10,Wolverhampton Wanderers,Watford,W,Wolves
1312,1,0,2022-03-13,Wolverhampton Wanderers,Everton,W,Wolves
1313,0,0,2022-03-18,Wolverhampton Wanderers,Leeds United,L,Wolves
1314,1,0,2022-04-02,Wolverhampton Wanderers,Aston Villa,W,Wolves
1315,0,0,2022-04-08,Wolverhampton Wanderers,Newcastle Utd,L,Wolves
1316,0,0,2022-04-24,Wolverhampton Wanderers,Burnley,L,Wolves
